part	item_id	condition	experiment_id	target_gender	gender_match	orig_item_number	case	animacy	R1	R2	R3	R4	R5	R6	text	question	response_true	response_distractors	list_id
adjectives	4	d	stim_adj	M	Mis	0	0	Inanim	У бабушки	старая	пылесос	уже год	плохо	работает	У бабушки старая пылесос уже год плохо работает	Хорошо ли работает у бабушки техника? 	нет	да	List3
adjectives	5	a	stim_adj	M	Match	0	0	Inanim	На стене 	рваный	плакат	давно	еле-еле	держится	На стене  рваный плакат давно еле-еле держится	Все ли в порядке на стене?	нет	да	List3
adjectives	6	b	stim_adj	F	Mis	0	0	Inanim	В комнате	странный	сумка	в углу	привлекает	внимание	В комнате странный сумка в углу привлекает внимание	Лежит ли странный предмет в центре комнаты?	нет	да	List3
adjectives	7	c	stim_adj	F	Match	0	0	Inanim	В холодильнике	готовая	колбаса	из Испании	или из	Италии	В холодильнике готовая колбаса из Испании или из Италии	Продукты в ящике были из-за границы?	Да	Нет	List3
adjectives	9	a	stim_adj	M	Match	0	0	Inanim	На реке	ржавый	катер	вечером	сильно	тарахтит	На реке ржавый катер вечером сильно тарахтит	Есть ли вечером шум на реке?	да	нет	List3
adjectives	14	b	stim_adj	F	Mis	0	0	Inanim	В саду	сладкий	вишня	уже 	скоро	созреет	В саду сладкий вишня уже  скоро созреет	Скоро ли будут фрукты и овощи в саду?	да	нет	List3
adjectives	16	d	stim_adj	M	Mis	0	0	Inanim	На дороге	грязная	трактор	никак	не может	завестись	На дороге грязная трактор никак не может завестись	Удается ли завести мотор?	нет	да	List3
adjectives	18	b	stim_adj	F	Mis	0	0	Inanim	В шкафу	дорогой	посуда	уже давно	пылится	без дела	В шкафу дорогой посуда уже давно пылится без дела	Используется ли предмет?	нет	да	List3
verbs	20	d	stim_verb	M	Mis	0	0	Inanim	На кухне	стоялa	пылесос	китайского	или корейского	производства	На кухне стоялa пылесос китайского или корейского производства	Технику произвели в Америке?	нет	да	List3
verbs	21	a	stim_verb	M	Match	0	0	Inanim	На стене 	висел	плакат	с изображением	группы	Нирвана	На стене  висел плакат с изображением группы Нирвана	Изображена ли была группа Любэ?	нет	да	List3
verbs	22	b	stim_verb	F	Mis	0	0	Inanim	При входе	лежал	сумка	с вещами	нашего	 приятеля	При входе лежал сумка с вещами нашего  приятеля				List3
verbs	23	c	stim_verb	F	Match	0	0	Inanim	В ресторан	прибыла	колбаса	из Испании	или из	Италии	В ресторан прибыла колбаса из Испании или из Италии	Еда поступила в ресторан?	да	нет	List3
verbs	25	a	stim_verb	M	Match	0	0	Inanim	У берега	стоял	катер	на якоре	и плавно	качался	У берега стоял катер на якоре и плавно качался				List3
verbs	30	b	stim_verb	F	Mis	0	0	Inanim	В саду	созрел	вишня	из Болгарии	несмотря на 	непогоду	В саду созрел вишня из Болгарии несмотря на  непогоду	Хорошая ли была погода?	нет	да	List3
verbs	32	d	stim_verb	M	Mis	0	0	Inanim	К дому	подъехала	трактор	с выбитыми	стеклами	и фарами	К дому подъехала трактор с выбитыми стеклами и фарами	Стёкла и фары были в плохом состоянии?	да	нет	List3
verbs	34	b	stim_verb	F	Mis	0	0	Inanim	С полки	упал	посуда	вместе	с коробкой	и салфетками	С полки упал посуда вместе с коробкой и салфетками	Остались ли салфетки на полке?	нет	да	List3
pred_adjectives	38	b	stim_pred_adj	F	Mis	0	0	inanim	У бабушки	готов	закуска	на всю	нашу	семью	У бабушки готов закуска на всю нашу семью				List3
pred_adjectives	42	b	stim_pred_adj	F	Mis	0	0	inanim	Дома всегда	полезен	машинка	для заготовки	фруктов и	овощей	Дома всегда полезен машинка для заготовки фруктов и овощей				List3
pred_adjectives	43	c	stim_pred_adj	F	Match	0	0	inanim	Мне очень	дорога	фотография	о нашей 	встрече	в Москве	Мне очень дорога фотография о нашей  встрече в Москве	Состоялась ли наша встреча в России?	да	нет	List3
pred_adjectives	44	d	stim_pred_adj	M	Mis	0	0	inanim	Тебе пока	велика	костюм 	из маминого	зимнего	гардероба	Тебе пока велика костюм  из маминого зимнего гардероба				List3
pred_adjectives	46	b	stim_pred_adj	F	Mis	0	0	inanim	В музее	привлекателен	комната	научных	экспериментов	для детей	В музее привлекателен комната научных экспериментов для детей				List3
pred_adjectives	47	c	stim_pred_adj	F	Match	0	0	inanim	В  парке	маловата	клумба	с незабудками	и статуями	из мха	В  парке маловата клумба с незабудками и статуями из мха	Есть ли в парке незабудки?	да	нет	List3
pred_adjectives	48	d	stim_pred_adj	M	Mis	0	0	inanim	Для первоклашек	бесполезна	вопрос	о процентах	или десятичных	дробях	Для первоклашек бесполезна вопрос о процентах или десятичных дробях	Знают ли первоклашки дроби?	нет	да	List3
pred_adjectives	50	b	stim_pred_adj	F	Mis	0	0	inanim	Совершенно	недопустим	беседа	о политике 	или деньгах	на работе	Совершенно недопустим беседа о политике  или деньгах на работе	Можно ли говорить о политике на работе?	нет	да	List3
filler	51	0	filler_ungram	Masc	0	101N	Acc	0	Ребёнок	по ночам	в кроватку	всегда	плохо	спит	Ребёнок по ночам в кроватку всегда плохо спит				List3
filler	52	0	filler_gram	Masc	0	101Y	Prep	0	Ребёнок	по ночам	в кроватке	всегда	плохо	спит	Ребёнок по ночам в кроватке всегда плохо спит	Ребёнок хорошо спит в кроватке?	Нет	Да	List3
filler	53	0	filler_ungram	Masc	0	102N	Instr	0	Старик	приходит	в квартирой	редко	и всегда	неохотно	Старик приходит в квартирой редко и всегда неохотно				List3
filler	54	0	filler_gram	Masc	0	102Y	Acc	0	Старик	приходит	в квартиру	редко	и всегда	неохотно	Старик приходит в квартиру редко и всегда неохотно	Старик часто приходит в квартиру?	Да	Нет	List3
filler	55	0	filler_ungram	Masc	0	103N	Acc	0	Мальчик	разговаривает	в школу	громко	и не	заикается	Мальчик разговаривает в школу громко и не заикается				List3
filler	56	0	filler_gram	Masc	0	103Y	Prep	0	Мальчик	разговаривает	в  школе	громко	и не	заикается	Мальчик разговаривает в  школе громко и не заикается	Мальчик разговаривает тихо?	Нет	Да	List3
filler	57	0	filler_ungram	Masc	0	104N	Instr	0	Лётчик	летает	в Россией	регулярно	на разных	самолетах	Лётчик летает в Россией регулярно на разных самолетах				List3
filler	58	0	filler_gram	Masc	0	104Y	Acc	0	Лётчик	летает	в Россию	регулярно	на разных	самолетах	Лётчик летает в Россию регулярно на разных самолетах	Лётчик редко летает в Россию?	Нет	Да	List3
filler	59	0	filler_ungram	Masc	0	105N	Acc	0	Ученик	работает	в лабораторию	часто	и всегда	с удовольствием	Ученик работает в лабораторию часто и всегда с удовольствием				List3
filler	60	0	filler_gram	Masc	0	105Y	Prep	0	Ученик	работает	в лаборатории	часто	и всегда	с удовольствием	Ученик работает в лаборатории часто и всегда с удовольствием	Нравится ли ученику работа?	Да	Нет	List3
filler	61	0	filler_ungram	Masc	0	106N	Instr	0	Художник	едет	в командировкой	неохотно	и быстро	возвращается	Художник едет в командировкой неохотно и быстро возвращается				List3
filler	62	0	filler_gram	Masc	0	106Y	Acc	0	Художник	едет	в командировку	неохотно	и быстро	возвращается	Художник едет в командировку неохотно и быстро возвращается	Много ли времени художник проводит в командировке?	Нет	Да	List3
filler	63	0	filler_ungram	Masc	0	107N	Acc	0	Студент	играет	на площадку	на скрипке	тихо 	и неумело	Студент играет на площадку на скрипке тихо  и неумело				List3
filler	64	0	filler_gram	Masc	0	107Y	Prep	0	Студент	играет	на площадке	на скрипке	тихо 	и неумело	Студент играет на площадке на скрипке тихо  и неумело	Студент хорошо играет на скрипке?	Нет	Да	List3
filler	65	0	filler_ungram	Masc	0	108N	Instr	0	Директор	уходит	на работой	рано	и остается	допоздна	Директор уходит на работой рано и остается допоздна				List3
filler	66	0	filler_gram	Masc	0	108Y	Acc	0	Директор	уходит	на работу	рано	и остается	допоздна	Директор уходит на работу рано и остается допоздна	Директор находится на работе допоздна?	Да	Нет	List3
filler	87	0	filler_ungram	Fem	0	119N	Acc	0	Девушка	курит	в офис	открыто	вопреки	правилам	Девушка курит в офис открыто вопреки правилам				List3
filler	88	0	filler_gram	Fem	0	119Y	Prep	0	Девушка	курит	в офисе	открыто	вопреки	правилам	Девушка курит в офисе открыто вопреки правилам	Курит ли девушка в офисе?	да	нет	List3
filler	89	0	filler_ungram	Fem	0	120N	Instr	0	Студентка	выбегает	в коридором	быстро	и сразу 	прячется	Студентка выбегает в коридором быстро и сразу  прячется	Студентка двигается медленно?	Нет	Да	List3
filler	90	0	filler_gram	Fem	0	120Y	Acc	0	Студентка	выбегает	в коридор	быстро	и сразу 	прячется	Студентка выбегает в коридор быстро и сразу  прячется				List3
filler	91	0	filler_ungram	Fem	0	121N	Acc	0	Девочка	отдыхает	на диван	спокойно	и никого	не зовет	Девочка отдыхает на диван спокойно и никого не зовет				List3
filler	92	0	filler_gram	Fem	0	121Y	Prep	0	Девочка	отдыхает	на диване	спокойно	и никого	не зовет	Девочка отдыхает на диване спокойно и никого не зовет	Взволнована ли девочка?	нет	да	List3
filler	93	0	filler_ungram	Fem	0	122N	Instr	0	Учительница	спешит	в кабинетом	по срочному	вызову	директора	Учительница спешит в кабинетом по срочному вызову директора	Учительницу вызвал директор?	Да	Нет	List3
filler	94	0	filler_gram	Fem	0	122Y	Acc	0	Учительница	спешит	в кабинет	по срочному	вызову	директора	Учительница спешит в кабинет по срочному вызову директора				List3
filler	95	0	filler_ungram	Fem	0	123N	Acc	0	Женщина	выглядит	в журнал	сильно	моложе	своих лет	Женщина выглядит в журнал сильно моложе своих лет				List3
filler	96	0	filler_gram	Fem	0	123Y	Prep	0	Женщина	выглядит	в  журнале	сильно	моложе	своих лет	Женщина выглядит в  журнале сильно моложе своих лет	Хорошо ли выглядит женщина в журнале?	Да	Нет	List3
filler	97	0	filler_ungram	Fem	0	124N	Acc	0	Рыба	плавает	в аквариум	неторопливо	среди	водорослей	Рыба плавает в аквариум неторопливо среди водорослей	Рыба быстро плавает?	Нет	Да	List3
filler	98	0	filler_gram	Fem	0	124Y	Prep	0	Рыба	плавает	в аквариуме	неторопливо	среди	водорослей	Рыба плавает в аквариуме неторопливо среди водорослей				List3
filler	99	0	filler_ungram	Fem	0	125N	Acc	0	Официантка	работает	в ресторан	усерднее	всех 	остальных	Официантка работает в ресторан усерднее всех  остальных				List3
filler	100	0	filler_gram	Fem	0	125Y	Prep	0	Официантка	работает	в ресторане	усерднее	всех 	остальных	Официантка работает в ресторане усерднее всех  остальных	Усердно ли работает официантка?	Да	нет	List3
filler	101	0	filler_ungram	Fem	0	126N	Instr	0	Медсестра	уходит	в госпиталем	на дежурство	после	обеда	Медсестра уходит в госпиталем на дежурство после обеда	Медсестра уходит после ужина?	Нет	Да	List3
filler	102	0	filler_gram	Fem	0	126Y	Acc	0	Медсестра	уходит	в больницу	на дежурство	после	обеда	Медсестра уходит в больницу на дежурство после обеда				List3
filler	123	0	filler_ungram	Neut	0	137N	Acc	0	Привидение	живёт	в шкаф	давно	и никого	не беспокоит	Привидение живёт в шкаф давно и никого не беспокоит				List3
filler	124	0	filler_gram	Neut	0	137Y	Prep	0	Привидение	живёт	в шкафу	давно	и никого	не беспокоит	Привидение живёт в шкафу давно и никого не беспокоит	Привидение живет в сундуке?	Нет	Да	List3
filler	125	0	filler_ungram	Neut	0	138N	Acc	0	Чучело	висит	в огород	высоко	и распугивает	ворон	Чучело висит в огород высоко и распугивает ворон				List3
filler	126	0	filler_gram	Neut	0	138Y	Prep	0	Чучело	висит	в огороде	высоко	и распугивает	ворон	Чучело висит в огороде высоко и распугивает ворон	Боятся ли вороны огородного чучела?	да	нет	List3
filler	127	0	filler_ungram	Neut	0	139N	Acc	0	Шимпанзе	замерзает	на улицу	мгновенно	и 	непоправимо	Шимпанзе замерзает на улицу мгновенно и  непоправимо				List3
filler	128	0	filler_gram	Neut	0	139Y	Prep	0	Шимпанзе	замерзает	на улице	мгновенно	и 	непоправимо	Шимпанзе замерзает на улице мгновенно и  непоправимо	Тепло ли обезьяне на улице?	Нет	Да	List3
filler	129	0	filler_ungram	Neut	0	140N	Instr	0	Животное	залезает	на лестницей	медленно	и с громким	воем	Животное залезает на лестницей медленно и с громким воем	Животное ведёт себя тихо?	Нет	Да	List3
filler	130	0	filler_gram	Neut	0	140Y	Acc	0	Животное	залезает	на лестницу	медленно	с громким	воем	Животное залезает на лестницу медленно с громким воем				List3
filler	131	0	filler_ungram	Neut	0	141N	Acc	0	Чудовище	живёт	в воду	незаметно	для	людей	Чудовище живёт в воду незаметно для людей	Люди замечают чудовище?	Нет	Да	List3
filler	132	0	filler_gram	Neut	0	141Y	Prep	0	Чудовище	живёт	в воде	незаметно	для	людей	Чудовище живёт в воде незаметно для людей				List3
filler	133	0	filler_ungram	Neut	0	142N	Acc	0	Привидение	светится	в темноту	страшно	и всех	пугает	Привидение светится в темноту страшно и всех пугает				List3
filler	134	0	filler_gram	Neut	0	142Y	Prep	0	Привидение	светится	в темноте	страшно	и всех	пугает	Привидение светится в темноте страшно и всех пугает	Привидение страшное?	Да	нет	List3
filler	135	0	filler_ungram	Neut	0	143N	Instr	0	Чудовище	кричит	на крышей	и страшно	рычит	от испуга	Чудовище кричит на крышей и страшно рычит от испуга	Чудовище напугано?	Да	Нет	List3
filler	136	0	filler_gram	Neut	0	143Y	Prep	0	Чудовище	кричит	на  крыше	и страшно	рычит	от испуга	Чудовище кричит на  крыше и страшно рычит от испуга				List3
filler	137	0	filler_ungram	Neut	0	144N	Instr	0	Государство	тратит	на школой	достаточно	средств 	из бюджета	Государство тратит на школой достаточно средств  из бюджета	Государство тратит много средств на школу?	Да	Нет	List3
filler	138	0	filler_gram	Neut	0	144Y	Acc	0	Государство	тратит	на школу	достаточно	средств 	из бюджета	Государство тратит на школу достаточно средств  из бюджета				List3